,t,true_probs,probs_x_np,cmc_2048,strat_2048,cmc_4096,strat_4096,cmc_10000,strat_10000,run_id
25,2.5,0.02501928061246872,0.02099609375,0.015625,0.0202,0.02392578125,0.0201,0.0194,0.01815,3
26,2.6,0.016010869294404984,0.0126953125,0.00830078125,0.01135,0.0126953125,0.0108,0.0112,0.0124,3
27,2.7,0.009006007574498653,0.0087890625,0.00537109375,0.0069,0.0087890625,0.0064,0.0069,0.00555,3
28,2.8000000000000003,0.004003265872597694,0.0029296875,0.00244140625,0.0033,0.003662109375,0.00265,0.0031,0.00295,3
29,2.9000000000000004,0.0010017387103289366,0.00146484375,0.0029296875,0.00195,0.001953125,0.00155,0.0016,0.00105,3
30,3.0,9.111500958169927e-07,0.0,0.001953125,0.0008,0.00146484375,0.00055,0.0004,0.00075,3
0,0.0,0.625,0.61865234375,0.59765625,0.61085,0.6142578125,0.61325,0.6085,0.61375,4
1,0.1,0.6058791875839233,0.60302734375,0.59619140625,0.60445,0.599365234375,0.5972,0.5967,0.5958,4
2,0.2,0.5885112285614014,0.5869140625,0.56298828125,0.5824,0.58837890625,0.5847,0.5837,0.5834,4
3,0.30000000000000004,0.5729958415031433,0.57421875,0.56787109375,0.5678,0.561279296875,0.5697,0.5691,0.57405,4
4,0.4,0.5593670606613159,0.5615234375,0.56787109375,0.55535,0.547607421875,0.5613,0.5521,0.55405,4
5,0.5,0.5475977063179016,0.55029296875,0.55078125,0.53845,0.533203125,0.54255,0.5405,0.5392,4
6,0.6000000000000001,0.5176073908805847,0.51806640625,0.49560546875,0.5123,0.501953125,0.50945,0.5119,0.5092,4
7,0.7000000000000001,0.48927319049835205,0.49267578125,0.49267578125,0.4827,0.477294921875,0.4882,0.4687,0.48255,4
8,0.8,0.4624413549900055,0.455078125,0.45361328125,0.45945,0.449951171875,0.45225,0.4465,0.4572,4
9,0.9,0.4369390606880188,0.4375,0.4296875,0.42945,0.431396484375,0.4262,0.435,0.4394,4
10,1.0,0.4125857651233673,0.41796875,0.39599609375,0.4046,0.416259765625,0.40615,0.4118,0.4101,4
11,1.1,0.3702026307582855,0.37255859375,0.36328125,0.38165,0.38623046875,0.3755,0.3878,0.3805,4
12,1.2000000000000002,0.3306204676628113,0.330078125,0.34130859375,0.34755,0.3359375,0.3399,0.3406,0.34625,4
13,1.3,0.2936851680278778,0.2998046875,0.30126953125,0.30775,0.30810546875,0.30385,0.2971,0.3115,4
14,1.4000000000000001,0.2592608332633972,0.26220703125,0.25244140625,0.2714,0.277587890625,0.2724,0.273,0.271,4
15,1.5,0.22723159193992615,0.22900390625,0.22216796875,0.2394,0.238525390625,0.23545,0.2291,0.23205,4
16,1.6,0.19750148057937622,0.19580078125,0.21875,0.20205,0.2021484375,0.19955,0.1978,0.1999,4
17,1.7000000000000002,0.16999302804470062,0.17138671875,0.154296875,0.16945,0.179443359375,0.17,0.1704,0.17055,4
18,1.8,0.14464549720287323,0.13525390625,0.1552734375,0.13555,0.138427734375,0.1345,0.1358,0.13405,4
19,1.9000000000000001,0.12141232937574387,0.111328125,0.1142578125,0.108,0.10302734375,0.1117,0.1075,0.10915,4
20,2.0,0.10025878250598907,0.0888671875,0.076171875,0.08575,0.080322265625,0.0866,0.0789,0.08655,4
21,2.1,0.08115958422422409,0.068359375,0.06982421875,0.0683,0.05712890625,0.067,0.0708,0.06825,4
22,2.2,0.06409665197134018,0.05517578125,0.04833984375,0.0536,0.050048828125,0.054,0.0512,0.05095,4
23,2.3000000000000003,0.04905750975012779,0.04296875,0.03955078125,0.03835,0.04150390625,0.0406,0.0379,0.0406,4
24,2.4000000000000004,0.03603358939290047,0.03369140625,0.02880859375,0.0297,0.0283203125,0.0268,0.0291,0.0319,4
25,2.5,0.02501928061246872,0.02099609375,0.0205078125,0.02155,0.020751953125,0.0217,0.0222,0.0217,4
26,2.6,0.016010869294404984,0.01220703125,0.01953125,0.0155,0.013427734375,0.0153,0.0152,0.0158,4
27,2.7,0.009006007574498653,0.00634765625,0.01513671875,0.0111,0.009765625,0.0111,0.0113,0.01085,4
28,2.8000000000000003,0.004003265872597694,0.00341796875,0.01025390625,0.00715,0.007568359375,0.0075,0.0078,0.0079,4
29,2.9000000000000004,0.0010017387103289366,0.00048828125,0.005859375,0.00575,0.00439453125,0.00545,0.0042,0.0047,4
30,3.0,9.111500958169927e-07,0.0,0.00146484375,0.00385,0.001708984375,0.00335,0.0035,0.00295,4
